"Date","Windows","OS X","Unknown","Linux","Chrome OS","Other"
2019-01,79.41,14.8,4.78,0.96,0.05,0
2019-02,77.19,16.69,5.15,0.92,0.05,0
2019-03,79.36,17.75,1.84,0.99,0.06,0
2019-04,78.74,17.98,2.09,1.13,0.06,0
2019-05,78.85,17.86,2.08,1.15,0.06,0
2019-06,79.09,16.91,2.55,1.39,0.06,0
2019-07,77.3,17.53,3.13,1.96,0.08,0
2019-08,77.64,17.49,3.88,0.89,0.1,0
2019-09,79.14,17.91,2.01,0.86,0.07,0
2019-10,79.32,18.44,1.33,0.83,0.07,0
2019-11,78.4,19.68,1.13,0.73,0.06,0
2019-12,78.53,19.46,1.22,0.73,0.07,0
2020-01,78.54,19.57,1.08,0.74,0.07,0
2020-02,78.01,20.01,1.13,0.76,0.09,0
2020-03,77.31,20.89,0.99,0.72,0.09,0
2020-04,79.55,18.5,1.1,0.74,0.11,0
2020-05,80.33,17.75,1.11,0.69,0.11,0
2020-06,80.25,17.59,1.3,0.71,0.15,0
2020-07,79.02,18.23,1.73,0.85,0.17,0
2020-08,77.36,19.09,2.23,1.14,0.18,0
2020-09,77.11,20.4,1.47,0.84,0.18,0
2020-10,82.37,15.83,1.03,0.64,0.13,0
2020-11,85.44,12.07,1.47,0.87,0.14,0
2020-12,85.81,11.74,1.45,0.84,0.16,0
2021-01,84.53,12.87,1.55,0.86,0.18,0
2021-02,85.54,11.99,1.51,0.79,0.17,0
2021-03,86.05,11.34,1.63,0.82,0.15,0
2021-04,84.83,11.84,2.19,0.96,0.17,0
2021-05,82.84,13.36,2.74,0.92,0.14,0
2021-06,77.26,18.2,3.16,1.21,0.16,0
2021-07,83.87,11.04,3.87,1.01,0.2,0
2021-08,83.56,11.79,3.21,1.18,0.25,0.01
2021-09,86.24,10.35,2.32,0.91,0.17,0.01
2021-10,87.75,9.36,1.98,0.75,0.15,0
2021-11,86.9,9.84,2.25,0.82,0.18,0
2021-12,86.04,9.43,3.45,0.85,0.23,0
2022-01,87.26,9.9,1.8,0.8,0.24,0.01
